timestamp, index, temperature.gpu, clocks.current.sm [MHz], power.draw [W], utilization.gpu [%], memory.used [MiB]
2026/04/22 03:40:11.224, 0, 26, 1980 MHz, 117.87 W, 0 %, 28133 MiB
2026/04/22 03:40:11.229, 1, 31, 1980 MHz, 121.61 W, 0 %, 28133 MiB
2026/04/22 03:40:11.232, 2, 30, 1980 MHz, 119.96 W, 0 %, 28133 MiB
2026/04/22 03:40:11.235, 3, 29, 1980 MHz, 120.47 W, 0 %, 28133 MiB
2026/04/22 03:40:12.239, 0, 26, 1980 MHz, 116.78 W, 0 %, 28133 MiB
2026/04/22 03:40:12.243, 1, 31, 1980 MHz, 121.45 W, 0 %, 28133 MiB
2026/04/22 03:40:12.246, 2, 30, 1980 MHz, 119.24 W, 1 %, 28133 MiB
2026/04/22 03:40:12.249, 3, 29, 1980 MHz, 120.43 W, 0 %, 28133 MiB
2026/04/22 03:40:13.252, 0, 26, 1980 MHz, 130.78 W, 0 %, 28133 MiB
2026/04/22 03:40:13.256, 1, 30, 1980 MHz, 134.17 W, 0 %, 28133 MiB
2026/04/22 03:40:13.260, 2, 30, 1980 MHz, 136.06 W, 0 %, 28133 MiB
2026/04/22 03:40:13.263, 3, 29, 1980 MHz, 133.76 W, 0 %, 28133 MiB
2026/04/22 03:40:14.266, 0, 26, 1980 MHz, 115.01 W, 0 %, 28133 MiB
2026/04/22 03:40:14.270, 1, 30, 1980 MHz, 116.37 W, 0 %, 28133 MiB
2026/04/22 03:40:14.273, 2, 30, 1980 MHz, 117.50 W, 0 %, 28133 MiB
2026/04/22 03:40:14.277, 3, 29, 1980 MHz, 116.41 W, 0 %, 28133 MiB
2026/04/22 03:40:15.280, 0, 26, 1980 MHz, 115.01 W, 0 %, 28133 MiB
2026/04/22 03:40:15.283, 1, 30, 1980 MHz, 116.40 W, 0 %, 28133 MiB
2026/04/22 03:40:15.287, 2, 30, 1980 MHz, 117.55 W, 0 %, 28133 MiB
2026/04/22 03:40:15.290, 3, 29, 1980 MHz, 116.38 W, 0 %, 28133 MiB
2026/04/22 03:40:16.293, 0, 26, 1980 MHz, 115.09 W, 0 %, 28133 MiB
2026/04/22 03:40:16.297, 1, 30, 1980 MHz, 116.39 W, 0 %, 28133 MiB
2026/04/22 03:40:16.301, 2, 30, 1980 MHz, 117.57 W, 0 %, 28133 MiB
2026/04/22 03:40:16.303, 3, 29, 1980 MHz, 116.40 W, 0 %, 28133 MiB
2026/04/22 03:40:17.306, 0, 26, 1980 MHz, 115.05 W, 0 %, 28133 MiB
2026/04/22 03:40:17.310, 1, 30, 1980 MHz, 116.47 W, 0 %, 28133 MiB
2026/04/22 03:40:17.314, 2, 30, 1980 MHz, 117.58 W, 0 %, 28133 MiB
2026/04/22 03:40:17.317, 3, 29, 1980 MHz, 116.54 W, 0 %, 28133 MiB
2026/04/22 03:40:18.320, 0, 26, 1980 MHz, 115.03 W, 0 %, 28133 MiB
2026/04/22 03:40:18.325, 1, 30, 1980 MHz, 116.42 W, 0 %, 28133 MiB
